company,slogan
Glenfiddich Scotch Whisky,Glenfiddich. Independently minded. Independently made.
Glenfiddich Scotch Whisky,The Independent Spirit
Glenfiddich Scotch Whisky,The Friday Scotch
Glenfiddich Scotch Whisky,Single source of inspiration
Patron Tequila,Simply perfect.
Tequila Avion,Step out of your shell.
Herradura Tequila,Never compromise.
El Jimador,Live 100%.
Tequila Gran Centenario,The calling.
Sauza Tequila,Fun is calling.
Sauza Tequila,Stay pure.
Sauza Tequila,Life is harsh. Your tequila shouldn't be.
Sauza Conmemorativo,"The smoother, oak-aged tequila."
"Sauza 901, brand of premium tequila",No limes needed.
Jose Cuervo Tequila,Have a story.
Jose Cuervo Tequila,Don't let go.
Jose Cuervo Silver,So smooth. It shatters expectations.
Jose Cuervo Cinge,Get stung.
"Sedgwick's Old Brown Sherry, South Africa","Sedgwick's. Rich, warm and satisfying."
"Douglas Green sherry, South Africa",Rediscover the delight of Sherry.
"Tio Pepe, Fino sherry",Good food tastes better after a glass of Tio Pepe.
"Tio Pepe, Fino sherry",Good Food Tastes Better With Tio Pepe.
Yorkshire black tea,Let's have a proper brew.
Yorkshire black tea,From Yorkshire. Where teatime's important.
Yorkshire black tea,Try it. You'll see.
Yorkshire black tea,It's got to be Yorkshire.
Yorkshire black tea,All the best from Yorkshire.
Yorkshire Tea for Hard Water,Our family of teas blended to suit your water.
Sir Winston Tea,Finest tea tradition.
Harney & Sons tea,Master tea blenders.
Jacksons of Piccadilly tea,Purveyors of quality teas since the 18th century.
Punjana tea brand,Put more flavour in your life.
Punjana tea brand,Punjana. Everyone's cup of tea.
Ridgways tea,Fine teas for the discerning.
Five Roses tea brand,Nobody makes better tea than you and Five Roses.
Dewar's Scotch Whisky brand,Dewar's. It never varies.
Dewar's Scotch Whisky brand,They're doers.
Ballantine's whisky brand,Ballantine's. Play better. Play in moderation.
Canadian Club brand,Canadian Club. Be a Part of it.
Canadian Club brand,No Ordinary Whisky.
Canadian Club brand,150 Countries. 1 Rye - Canadian Club.
Cutty Sark Whisky,Live a Cutty above.
Cutty Sark Whisky,Don't give up the ship.
Haig Scotch,Don't be vague. Ask for Haig.
Bell's Scotch Whisky brand,Afore ye go.
Chivas Regal premium blended old Scotch,This is Chivas Life.
"Ardbeg, Single Islay Malt Scotch Whisky",Ardbeg. The Islay malt that sweetly whacks you.
Jose Cuervo Especial,It makes you electric.
Tequila Corazon de Agave,The good stuff.
1800 Tequila,Enough said.
1800 Reposado,When you're ready for a smooth tequila.
Olmeca Tequila,Switch on the night.
Olmeca Tequila,Awaken the mystery.
Olmeca Tequila,Olmeca... and the fun goes on!
Exodo Tequila,What's your flavor?
Hornitos Tequila,Purer than your intentions.
Cazadores,Never forget where you come from.
Cazadores,The one with the deer on it.
Don Julio,Make your move.
Don Julio,Know your tequila.
Don Julio,Taste the Mexico you don't know.
Don Julio,Welcome to the top shelf.
El Mayor Tequila,A handmade legacy.
Tequila Corralejo,The big tequila of Mexico.
Espolon Tequila,Let's stir things up.
Casamigos,Brought to you by those who drink it.
Talero Tequila,Life tastes better naturally.... So should your tequila.
"Selecto (Santa Teresa) brand, Venezuela",One country. One rum.
Malibu Caribbean Rum brand,Malibu. Seriously easy going.
Appleton Jamaica Rum,Appleton. The spirit of Jamaica.
Appleton Jamaica Rum,Raise your Rum!
Appleton Jamaica Rum,The Finest Rum In The World.
Bacardi rum,You in?
Bacardi rum,Welcome to the Latin Quarter.
Bacardi rum,Live like you mean it.
Bacardi rum,They get the job done.
Bacardi rum,You know when it's Bacardi.
Island Breeze Coconut Rum (by Bacardi),Island Breeze. The original lite spirit.
Island Breeze Coconut Rum (by Bacardi),Now you can have it all.
Captain Morgan Spiced rum,Captain Morgan. Enjoy the contradiction.
Captain Morgan Spiced rum,Got a little Captain in you?
Captain Morgan Spiced rum,The Captain was here.
Captain Morgan's / Parrot Bay coconut rum,The Parrot is Calling.
"Ron Varadero, Cuban rum",Ron Varadero. Beyond compare.
"Taylor’s Port wine brand, Portugal",Taylor’s. The Home of Port.
Cockburn's Port of Portugal,Cockburn's. Good Times. Good Friends.
Kopke porto,Kopke. The eldest symbol of Portwine.
Rozes port wines,Rozes. Expect the Unexpected and enjoy.
Graham's port wine,Grrrasp the moment.
Martell Cognac,Martell. Only a Few Can Tell.
Hennessy X.O. french cognac,Hennessy. Mix accordingly.
Hennessy X.O. french cognac,Hennessy XO. The one and only original.
Remy Martin brand,Remy Martin. Feel More.
Remy Martin brand,Only Remy.
"Pisa, Nut Liqueur,",Pisa. A whole new slant on things.
"Pisa, Nut Liqueur,",
Champale Malt Liquor,Champale. Some People Just Know How to Live.
"Kahlua brand, Mexican coffee liqueur",Kahlua. Enjoy your exotic moment responsibly.
"Kahlua brand, Mexican coffee liqueur",Kahlua. Awaken the spirit.
Midori melon liqueur brand,Midori Margarita: Mix It UP.
Baileys Irish Cream Liqueur,Baileys. Serve Chilled.
Baileys Irish Cream Liqueur,Baileys. Let your senses guide you.
Baileys Irish Cream Liqueur,The Pleasure Society.
"Celtic Crossing Liqueur, Ireland",Celtic Crossing. Find it!
"Disaronno, Italian liqueur",Disaronno. Taste the seduction.
"Talea cream liqueur, Italy",Talea. A velvet sensation.
"Cointreau, a premium spirit made from orange peels",Cointreau. Be cointreauversial.
Wild Turkey Bourbon brand,Too good to keep cooped up
Wild Turkey Bourbon brand,
Wild Turkey Bourbon brand,Wild Turkey. Not the latest thing. The genuine thing.
Jim Beam Bourbon brand,Real Friends. Real Bourbon.
"Maker's Mark, America's premium bourbon",We make our bourbon carefully. Please enjoy it that way
Four Roses Bourbon,Four Roses. America's most gifted whiskey.
Tanqueray gin brand,Ready to Tanqueray?
Beefeater London Dry Gin,Beefeater. This is Gin.
Beefeater London Dry Gin,Make it a double.
Beefeater London Dry Gin,Live a little
Gordon's gin,Gordon's. Refreshing yet dry.
Gordon's gin,Mix Gordon's with Pleasure.
Gordon's gin,Re-mix yourself.
Gordon's gin,Go for a Gordon's.
Gilbey's special dry gin,Gilbey's. Taste the smoothest gin today.
Gilbey's special dry gin,So smooth. Good times last longer.
London brand,London. Just right for you!
"Hendrick's, a small-batch gin hand crafted in Scotland",Hendrick's. A most unusual gin.
"Hendrick's, a small-batch gin hand crafted in Scotland",Hendrick's. It is not for everybody.
"Hendrick's, a small-batch gin hand crafted in Scotland",Preferred by 1 out of 1000 gin drinkers.
"Martin Miller's, a premium English gin",Martin Miller's. Be a tastemaker.
Bombay Sapphire gin,Sapphire Inspired.
Bombay Sapphire gin,Bombay Sapphire. Pour something priceless.
Busch Beer,Busch Beer. Head for the mountains.
Schlitz Beer,Schlitz. The beer that made Milwaukee famous.
Budweiser Beer,Budweiser. True.
Budweiser Beer,"When you say Budweiser, you've said it all."
Budweiser Beer,"For all you do, this Bud's for you."
Budweiser Beer,The Genuine Article.
Budweiser Beer,The King of Beers.
Budweiser Beer,"Where there's life, there's Bud."
Coors beer,The Coldest Tasting Beer In The World
Coors beer,It won't slow you down
Coors beer,This is our Beer
Coors beer,Turn it loose!
Coors beer,Brewed with Pure Rocky Mountain Spring Water.
Coors beer,Note:
A&W Root Beer,That frosty mug sensation.
Courage Beer,It's what your right arm's for.
Courage Beer,Take Courage.
Double Diamond Beer,I'm only here for the beer.
Double Diamond Beer,A Double Diamond works wonders.
Heineken beer,A better beer deserves a better can.
Heineken beer,It's all about the beer.
Heineken beer,Lager Beer at its Best.
Heineken beer,How refreshing! How Heineken!
Heineken beer,Heineken refreshes the parts other beers cannot reach.
Greene King IPA beer,Greene King IPA. A tasty change from the usual.
Greene King IPA beer,Beer to Dine For.
Molson Canadian brand,It Starts Here.
Molson Canadian brand,I am Canadian.
Bad Frog beer,The Beer so Good it's Bad.
Bud Light brand,Fresh. Smooth. Real. It's all here.
Bud Light brand,Be yourself and make it a Bud Light.
"Dreher, Hungarian premium beer brand",It's what's inside that truly counts. Dreher.
"Abbot Ale, Greene King's flagship brand",Some things get better given longer.
"Abbot Ale, Greene King's flagship brand",Would you say no to another?
"Chateau Los Boldos, Chilean wines",The French Chateau of Chile
"Casillero del Diablo, brand of Concha y Toro",Wine legend
"Casillero del Diablo, brand of Concha y Toro",Casillero del Diablo. Chilean wine legend
"Sunrise wine, Chile, brand of Concha y Toro",Sunrise. 300 days of sun
Casa Donoso chilean wines,Casa Donoso. For Those Who Know the Best
"Vina Santa Carolina, chilean wine",Vina Santa Carolina. This Is Chile
Francisco de Aguirre Vineyards,The Northern Frontier of Chilean Wine
Gracia de Chile wines,Gracia de Chile. The south side of life.
Santa Rita Chile's wine,A great wine for your table
Santa Rita Chile's wine,Inalterable quality in time
"Finca Flichman brand, Argentina",The evolution of Argentina's great wines
"Finca Flichman brand, Argentina",From Argentina without secrets
"Black Tower, German wine brand","Black Tower. Easy drinking, anytime."
Osborne Solaz Spanish wine,Osborne Solaz. A wine with its own style.
"Campo Viejo, Spanish wine brand",Campo Viejo. Pure Spanish Character.
"Namaqua brand, boxed wine, South Africa",Namaqua. We box the best.
"Namaqua brand, boxed wine, South Africa",The big name in boxed wine
"Leopard's Leap, range of South African wines",Leopard's Leap… follow your instincts.
"Inanda, sparkling wine brand, South Africa",Quality time… because every day is a celebration.
Van Loveren Blanc De Noir brand,The perfectly pink wine of South Africa.
Goiya wine brand,Goiya… bring a bottle.
"Graca, white corked wine, South Africa","Graca. The talking, eating,drinking, laughing, singing, sharing seafood wine."
"Marques De Riscal brand, Spain",Marques De Riscal. Not only with fish
"Douglas Green Wines, South Africa",Douglas Green. Cape wine at its best.
MUMM Champagne,One word captures the moment. Mumm's the word.
"Brown Brothers brand, Australia",Nothing but the wine
"Wolf Blass brand, Australia",Wolf Blass. Australian wine at its peak
Lindemans best selling Australian wine brand,Lindemans. Making life more enjoyable
"Jacob's Creek, Australian wine brand",Jacob's Creek. Say when.
"Black Swan wine brand, Australia",Black Swan. Let Your Senses Take Flight
William Hill Winery wines,William Hill. Elegance. Defined.
Houghton Australian Wines,Houghton. Perfect for when friends drop in
"Codorniu, brand of cava wines from Spain",Codorniu. The Culture of Pleasure
"Bolla, Italian wine brand",Bolla. Open up
Beanetics Coffee Roasters,The evolution of better coffee.
Capital City Coffee Roasters,Globally sourced. Locally roasted.
"North Pole Coffee Roasting Company, Alaska",Alaskan made. Santa approved.
Utica Coffee Roasting Company,Wake the hell up!
Oregon Coffee Roaster,"Grown in exotic lands, roasted in Oregon."
"Little Red Wagon Coffee Roasters in Bozeman, MT",We. Love. Coffee.
"Mellelo Coffee Roasters in Medford, Oregon",We're big on taste.
"The Coffee Roaster in Sherman Oaks, CA",Start every day fresh!
True Coffee Roasters,True to the bean.
"Cup to Cup Coffee Roasters in Savannah, GA",Where one cup leads to another.
Reading Coffee Roasters,Never burned & always fresh.
Red Rooster Coffee Roaster,Coffee with a conscience.
Kifu Coffee Roasters,Coffee from the global village.
"Pacific Coffee Roasters, Canada",Discover the world in your cup.
"Turnstile Coffee Roasters in Belmar, NJ",Join us in discovering great coffee.
"Bolla, Italian wine brand","Wine is a little like love; when the right one comes along, you know it."
"Fleur du Cap brand, South Africa",Fleur du Cap. Wines inspired by Nature
Argentinean wine industry campaign In England,Wines with Rhythm
"Bella Sera, Italian table wine",Bella Sera. It's going to be a beautiful evening
Korbel California Champagne,Korbel. Turning moments into memories
Wine Council of Ontario,Wines of Ontario. As much character as the people who make them
"Golden Amphora, Crimean wines, Ukraine",Golden Amphora. Wines of the crimean valleys.
